2020-05-23 21:56:08,861 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,901 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,903 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,909 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,937 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,939 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,942 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,090 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,092 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,096 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,096 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,145 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,150 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,158 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,160 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,278 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,279 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,282 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,282 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,302 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,308 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,312 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,313 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,389 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,391 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,393 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,394 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,415 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,416 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,420 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,420 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,467 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,473 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,476 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,476 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,504 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,505 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,508 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,508 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,541 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,543 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,591 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,591 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,727 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,732 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,738 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,740 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,799 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,800 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,808 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:09,809 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:09,994 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:09,997 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:09,999 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,000 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,080 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,082 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,085 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,101 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,158 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,159 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,162 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,162 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,249 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,250 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,252 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,253 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,276 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,278 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,280 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,281 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,345 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,348 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,359 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,360 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,419 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,420 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,423 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,424 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,452 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,453 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,462 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,463 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,483 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,485 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,487 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,487 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,570 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,598 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,605 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,607 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,610 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:10,733 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,735 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,739 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,739 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,740 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:10,832 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,834 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,843 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,843 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,849 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:10,914 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:10,928 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:10,934 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:10,934 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:10,936 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:11,018 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:11,025 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:11,028 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:11,030 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:11,032 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:11,134 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:11,135 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:11,138 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:11,138 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:11,139 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:11,227 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:11,238 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:11,245 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:11,247 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
2020-05-23 21:56:11,249 WARN  SnsAmbassador - Unit veh_40 is not known, skipping
2020-05-23 21:56:11,589 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:11,592 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:11,597 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:11,598 WARN  SnsAmbassador - Unit veh_30 is not known, skipping
